  design_variable          CL_gradient
-----------------  -------------------
               x0   -41.83058745780735
               x1    -1.45494427975373
               x2    -0.22541470088601
               x3    -0.13899226550519
               x4    -0.08819008947215
               x5    -0.06326797391822
               x6    -0.04842404057412
               x7    -0.03907486326758
               x8    -0.03221231467485
               x9    -0.02728532623681
              x10    -0.02357916402448
              x11    -0.02098641786544
              x12     0.00131971787553
              x13    -0.01166908284036
              x14    -0.03476599029935
              x15    -0.01069520866331
              x16    -0.01182089953421
              x17    -0.01230625088468
              x18    -0.01562472638957
              x19    -0.02229279808190
              x20    -0.02224293866946
              x21     0.09413779890742
              x22     1.08786878877225
              x23     1.54617987586022
              x24    -3.99437846646218
              x25     0.30709513592385
              x26     1.05874214994779
              x27     0.11042729354640
              x28    -0.05343107966858
              x29    -0.06222334413986
              x30    -0.04856682999170
              x31    -0.03466179178190
              x32    -0.02280268736682
              x33    -0.01355698571760
              x34     0.02428518131149
              x35     0.00165281888827
              x36    -0.00848459164808
              x37     0.02549050916962
              x38     0.03590169040066
              x39     0.05066444332195
              x40     0.06971421149119
              x41     0.09518310208410
              x42     0.13228213858332
              x43     0.18782247103229
              x44     0.27828360524878
              x45     0.45591808563292
              x46     0.69684697509353
              x47     1.60953086787384
              x48    12.26538093829206
              x49    28.23775476686793
               y0    -7.73481579217707
               y1    21.09481959584514
               y2     2.31528000090319
               y3     2.16368722814252
               y4     1.35494891920173
               y5     0.97239289559007
               y6     0.73330371158976
               y7     0.57719443505596
               y8     0.46954447415620
               y9     0.39275572165380
              y10     0.33564256645737
              y11     0.29585436926585
              y12     0.22478173665032
              y13     0.30398670129828
              y14     0.18097087105827
              y15     0.19557806538816
              y16     0.18959530046535
              y17     0.18569064537119
              y18     0.19187467210427
              y19     0.21728018106792
              y20     0.30194146962801
              y21     0.54029883480531
              y22     0.64132523354404
              y23    -2.74004225623797
              y24    -0.78705558835387
              y25     3.19974574810939
              y26     0.01740847434870
              y27    -0.20153751462779
              y28     0.00956687782782
              y29     0.11190019897156
              y30     0.16106327586040
              y31     0.19020098009961
              y32     0.21322871673835
              y33     0.23036392578151
              y34     0.21878505478115
              y35     0.35999305291486
              y36     0.26236265973124
              y37     0.34358455742706
              y38     0.38729735269113
              y39     0.45025336435683
              y40     0.53399460878453
              y41     0.65353588822277
              y42     0.82770731561256
              y43     1.09697140808089
              y44     1.53314275208432
              y45     2.41991236876635
              y46     3.35319986536274
              y47     7.90476967126577
              y48    53.45360368625534
              y49  -100.34788828192103
